cvgeo,id,year,SOLICITUD,PROMOVENTE,EVENTO,Resistencia_Insectos,Tolerancia_Glufosinato,Tolerancia_Glifosato,Tolerancia_Dicamba,Otra_Caracteristica,Fenotip,ORGANISMO,specie,CICLO_AGRICOLA,SUPERFICIE_SOLICITADA.Has.,area,FECHA_RESOLUCION,SUPERFICIE_SEMBRADA.Has.,type,ent,mun,lat,lon,counter
28002,1,2018,001/2018,"Bayer de México, S.A. de C.V.",BCS-GH002-5 x BCS-GH004-7 x BCS-GH005-8,Sí,No,Sí,No,No,Resistencia a Insectos. Tolerancia a herbicidas. ,Gossypium hirsutum L. ,Algodón,Primavera - Verano 2018,1.5,1,27/07/2018,NA.,Experimental,Tamaulipas,Aldama,23.0023,-98.03577,1
28003,1,2018,001/2018,"Bayer de México, S.A. de C.V.",BCS-GH002-5 x BCS-GH004-7 x BCS-GH005-8,Sí,No,Sí,No,No,Resistencia a Insectos. Tolerancia a herbicidas. ,Gossypium hirsutum L. ,Algodón,Primavera - Verano 2018,1.5,1,27/07/2018,NA.,Experimental,Tamaulipas,Altamira,22.542,-98.08245,1
28002,4,2018,004/2018,"Bayer de México, S.A. de C.V.",BCS-GH002-5 x ACS-GH001-3 ,No,Sí,Sí,No,No,Tolerancia a herbicidas. ,Gossypium hirsutum L. ,Algodón,Primavera - Verano 2018,350,350,11/07/2018,Sin dato.,Programa Piloto,Tamaulipas,Aldama,23.0023,-98.03577,1
28003,4,2018,004/2018,"Bayer de México, S.A. de C.V.",BCS-GH002-5 x ACS-GH001-3 ,No,Sí,Sí,No,No,Tolerancia a herbicidas. ,Gossypium hirsutum L. ,Algodón,Primavera - Verano 2018,350,350,11/07/2018,Sin dato.,Programa Piloto,Tamaulipas,Altamira,22.542,-98.08245,1
28012,4,2018,004/2018,"Bayer de México, S.A. de C.V.",BCS-GH002-5 x ACS-GH001-3 ,No,Sí,Sí,No,No,Tolerancia a herbicidas. ,Gossypium hirsutum L. ,Algodón,Primavera - Verano 2018,350,350,11/07/2018,Sin dato.,Programa Piloto,Tamaulipas,González,22.78643,-98.55449,1
28021,4,2018,004/2018,"Bayer de México, S.A. de C.V.",BCS-GH002-5 x ACS-GH001-3 ,No,Sí,Sí,No,No,Tolerancia a herbicidas. ,Gossypium hirsutum L. ,Algodón,Primavera - Verano 2018,350,350,11/07/2018,Sin dato.,Programa Piloto,Tamaulipas,El Mante,22.47947,-98.80379,1
25001,5,2018,005/2018,"Monsanto Comercial, S. de R. L. de C. V.",SYN-IR1Ø2-7 x MON-15985-7 x MON-88913-8 x MON-887Ø1-3,Sí,Sí,Sí,Sí,No,Resistencia a Insectos. Tolerancia a herbicidas. ,Gossypium hirsutum L. ,Algodón,Primavera - Verano 2019,112.66,19.34,14/02/2019,Sin dato.,Programa Piloto,Sinaloa,Ahome,25.89565,-109.1332,1
25010,5,2018,005/2018,"Monsanto Comercial, S. de R. L. de C. V.",SYN-IR1Ø2-7 x MON-15985-7 x MON-88913-8 x MON-887Ø1-3,Sí,Sí,Sí,Sí,No,Resistencia a Insectos. Tolerancia a herbicidas. ,Gossypium hirsutum L. ,Algodón,Primavera - Verano 2019,112.66,19.34,14/02/2019,Sin dato.,Programa Piloto,Sinaloa,El Fuerte,26.25532,-108.679,1
26003,5,2018,005/2018,"Monsanto Comercial, S. de R. L. de C. V.",SYN-IR1Ø2-7 x MON-15985-7 x MON-88913-8 x MON-887Ø1-3,Sí,Sí,Sí,Sí,No,Resistencia a Insectos. Tolerancia a herbicidas. ,Gossypium hirsutum L. ,Algodón,Primavera - Verano 2019,112.66,19.34,14/02/2019,Sin dato.,Programa Piloto,Sonora,Alamos,27.05106,-108.877,1
26018,5,2018,005/2018,"Monsanto Comercial, S. de R. L. de C. V.",SYN-IR1Ø2-7 x MON-15985-7 x MON-88913-8 x MON-887Ø1-3,Sí,Sí,Sí,Sí,No,Resistencia a Insectos. Tolerancia a herbicidas. ,Gossypium hirsutum L. ,Algodón,Primavera - Verano 2019,112.66,19.34,14/02/2019,Sin dato.,Programa Piloto,Sonora,Cajeme,27.79282,-109.8868,1
26026,5,2018,005/2018,"Monsanto Comercial, S. de R. L. de C. V.",SYN-IR1Ø2-7 x MON-15985-7 x MON-88913-8 x MON-887Ø1-3,Sí,Sí,Sí,Sí,No,Resistencia a Insectos. Tolerancia a herbicidas. ,Gossypium hirsutum L. ,Algodón,Primavera - Verano 2019,112.66,19.34,14/02/2019,Sin dato.,Programa Piloto,Sonora,Etchojoa,27.01514,-109.6885,1
26033,5,2018,005/2018,"Monsanto Comercial, S. de R. L. de C. V.",SYN-IR1Ø2-7 x MON-15985-7 x MON-88913-8 x MON-887Ø1-3,Sí,Sí,Sí,Sí,No,Resistencia a Insectos. Tolerancia a herbicidas. ,Gossypium hirsutum L. ,Algodón,Primavera - Verano 2019,112.66,19.34,14/02/2019,Sin dato.,Programa Piloto,Sonora,Huatabampo,26.74891,-109.4403,1
26042,5,2018,005/2018,"Monsanto Comercial, S. de R. L. de C. V.",SYN-IR1Ø2-7 x MON-15985-7 x MON-88913-8 x MON-887Ø1-3,Sí,Sí,Sí,Sí,No,Resistencia a Insectos. Tolerancia a herbicidas. ,Gossypium hirsutum L. ,Algodón,Primavera - Verano 2019,112.66,19.34,14/02/2019,Sin dato.,Programa Piloto,Sonora,Navojoa,27.0781,-109.4027,1
26071,5,2018,005/2018,"Monsanto Comercial, S. de R. L. de C. V.",SYN-IR1Ø2-7 x MON-15985-7 x MON-88913-8 x MON-887Ø1-3,Sí,Sí,Sí,Sí,No,Resistencia a Insectos. Tolerancia a herbicidas. ,Gossypium hirsutum L. ,Algodón,Primavera - Verano 2019,112.66,19.34,14/02/2019,Sin dato.,Programa Piloto,Sonora,Benito Juárez,27.1064,-109.8514,1
26072,5,2018,005/2018,"Monsanto Comercial, S. de R. L. de C. V.",SYN-IR1Ø2-7 x MON-15985-7 x MON-88913-8 x MON-887Ø1-3,Sí,Sí,Sí,Sí,No,Resistencia a Insectos. Tolerancia a herbicidas. ,Gossypium hirsutum L. ,Algodón,Primavera - Verano 2019,112.66,19.34,14/02/2019,Sin dato.,Programa Piloto,Sonora,San Ignacio Río Muerto,27.35978,-110.3588,1
